C689524,FR0087,6.6,1000,22062021 10305600,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-IS-PT. BANK CENTRAL ASIA TBK-ARAKSA,CENADEPO,null,OR,525,533401575,12160575
C689538,FR0087,6.6,50000,22062021 10315200,PT BANK OCBC NISP  TBK,PT BANK OCBC NISP  TBK,CR-IB-PT BANK OCBC NISP  TBK-00,NISPDEPO,null,OR,26274,26694462822,608584662
C689599,FR0087,6.6,25000,22062021 10341900,PT. TRIMEGAH SEKURITAS INDONESIA,PT. BANK MANDIRI (PERSERO)  TBK,CR-SC-BANK MANDIRI SUB REGISTRY - INVESTOR-trimegah,BMRIINVT-DEPO,null,OR,13137,13347231411,304292331
C689614,FR0087,6.6,60000,22062021 10345000,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-SC-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-DANAREKSA SEK,BRINDEPO,null,OR,31529,32033558587,730306227
C689645,FR0087,6.6,30000,22062021 10360900,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-SC-PT. BANK CENTRAL ASIA TBK-PACIFIC SEKU,CENADEPO,null,OR,15764,16016271292,365141532
C689649,FR0087,6.6,20000,22062021 10361300,PT BANK CIMB NIAGA TBK,PT BANK CIMB NIAGA TBK,CR-IB-PT BANK CIMB NIAGA TBK-00,BNIADEPO,null,OR,10510,10678191530,243443130
C689511,FR0087,6.6,280000,22062021 10300500,STANDCHART BANK,STANDCHART BANK,CR-IB-STANDCHART BANK-00,SCBLDEPO,null,OR,147134,149488585402,3408064842
C689675,FR0087,6.6,20000,22062021 10373700,CITIBANK  N.A.,CITIBANK  N.A.,CR-IB-CITIBANK  N.A.-00,CITIDEPO,null,OR,10510,10678191530,243443130
C689677,FR0087,6.6,10000,22062021 10374400,PT. BANK MAYBANK INDONESIA  TBK,PT. BANK MAYBANK INDONESIA  TBK,CR-IB-PT. BANK MAYBANK INDONESIA  TBK-00,IBBKDEPO,null,OR,5255,5339095765,121721565
C689709,FR0087,6.6,250000,22062021 10401500,BRI DANAREKSA SEKURITAS,PT. BANK MANDIRI (PERSERO)  TBK,CR-IS-BANK MANDIRI SUB REGISTRY - INVESTOR-BPJS TK - JHT,BMRIINVT-DEPO,null,OR,131370,133472314110,3042923310
